Date,Open,High,Low,Close,Volume,Market Cap
22-11-2017,0.007627,0.008412,0.007595,0.007816,117,47623
22-11-2017,3.4,4.09,2.14,2.71,311923,
23-11-2017,0.007814,0.007852,0.007535,0.007646,14,48789
23-11-2017,2.71,3.28,0.652161,1.73,456547,
24-11-2017,0.007635,0.008372,0.00749,0.008309,12,47673
24-11-2017,1.73,2.01,1.47,1.5,98292,
25-11-2017,0.00197,0.001974,0.001804,0.001924,161,170554
25-11-2017,0.008292,0.008729,0.00748,0.008049,731,51774
25-11-2017,1.49,1.63,0.845761,1.05,94057,
26-11-2017,0.001923,0.002122,0.001801,0.001848,429,166530
26-11-2017,0.008047,0.008754,0.008038,0.008664,6,50242
26-11-2017,1.05,1.46,0.884004,1.31,86880,
27-11-2017,0.001849,0.002047,0.001849,0.002043,388,160212
27-11-2017,0.008665,0.009048,0.008568,0.008757,217,54106
27-11-2017,1.31,1.66,1.26,1.65,27713,
28-11-2017,0.002049,0.002281,0.001864,0.001988,1362,177608
28-11-2017,0.00878,0.008982,0.006928,0.006956,284,54820
28-11-2017,1.66,1.75,1.36,1.4,22294,
29-11-2017,0.001986,0.002462,0.001706,0.001742,1383,172232
29-11-2017,0.00695,0.007834,0.002614,0.003194,817,43392
29-11-2017,1.4,2.93,1.06,2.08,115180,
30-11-2017,0.001769,0.003194,0.001731,0.002207,3201,153471
30-11-2017,0.003243,0.004663,0.00297,0.00462,4,20252
30-11-2017,2.11,2.82,1.25,2.01,282965,
01-12-2017,0.002196,0.003429,0.002113,0.00261,2408,190535
01-12-2017,0.004597,0.00515,0.004352,0.00512,4,28702
01-12-2017,2,2.28,1.47,2.12,84992,
02-12-2017,0.002607,0.002978,0.002145,0.002839,1024,226444
02-12-2017,0.005116,0.005302,0.004559,0.005242,9,31941
02-12-2017,2.12,2.15,1.35,1.91,286083,
03-12-2017,0.002842,0.003589,0.002823,0.003585,875,246841
03-12-2017,0.005247,0.005672,0.004976,0.005266,4,32763
03-12-2017,1.91,2.92,1.63,2.2,188888,
04-12-2017,0.003597,0.003994,0.00294,0.003374,960,312429
04-12-2017,0.005284,0.005447,0.005018,0.005235,1,32990
04-12-2017,2.2,2.5,1.38,1.75,273658,
05-12-2017,0.00338,0.004128,0.003047,0.003049,2319,294065
05-12-2017,0.005245,0.005475,0.004296,0.004339,56,32751
05-12-2017,1.75,1.92,1.74,1.88,23626,
06-12-2017,0.003042,0.004936,0.003042,0.003577,4751,264777
06-12-2017,0.004329,0.006614,0.004329,0.005641,39,27031
06-12-2017,1.87,2,1.74,1.93,19363,
07-12-2017,0.003571,0.005806,0.003526,0.005194,14724,310900
07-12-2017,0.005632,0.007481,0.005632,0.006753,185,35164
07-12-2017,1.93,2.21,1.27,1.39,39199,
08-12-2017,0.005206,0.006322,0.004224,0.005698,3456,453313
08-12-2017,0.006769,0.00687,0.005492,0.006349,2,42262
08-12-2017,1.4,2.22,1.22,1.66,30306,749283
09-12-2017,0.005692,0.006065,0.003603,0.004008,5554,495913
09-12-2017,0.006343,0.006437,0.005282,0.005614,1,39604
09-12-2017,1.66,2.14,1.54,1.67,17462,890562
10-12-2017,0.004024,0.004503,0.003537,0.004296,149,350759
10-12-2017,0.005312,0.010171,0.005312,0.009983,206,33167
10-12-2017,1.68,1.9,1.44,1.83,26018,899222
11-12-2017,0.004265,0.006274,0.004246,0.00537,5129,371887
11-12-2017,0.009911,0.011028,0.009867,0.010573,2,61880
11-12-2017,1.81,1.95,1.55,1.6,25888,972912
12-12-2017,0.005388,0.006316,0.004138,0.006041,3203,470015
